Ticker,Outstanding_Shares,Price
UGP,1087719298,2.85
CALX,66124545,46.73
BXMT,171970966,17.91
TEX,67381317,45.71
TNL,77620968,39.68
AVAL,1171755725,2.62
BCO,46713329,65.72
LAZ,86956522,35.19
CRK,277425204,11.03
PBH,49585433,61.51
SPXC,45570763,66.49
JXN,82311256,36.69
EPR,75386920,40.06
CNS,49097708,61.51
IHS,332594235,9.02
OR,184275184,16.28
PAGS,329646018,9.04
VSH,140028289,21.21
GNW,490099010,6.06
GBTG,464062500,6.40
ROG,18655779,159.20
LAC,150972364,19.54
TR,67030220,44.01
ERJ,183354193,15.98
THS,56055099,52.27
MDC,73195104,40.03
TGS,281703775,10.33
NTCO,686320755,4.24
PJT,39509537,73.40
ACA,48514353,59.57
ESMT,166570272,17.29
LCII,25303110,113.82
BUR,219062260,13.01
CCU,184535413,15.39
GHC,4788494,591.00
AIN,31205205,90.69
TV,565130261,4.99
LXP,293013556,9.59
CVI,100358423,27.90
ABM,65975495,42.44
CRC,71028513,39.28
NOG,85425597,32.66
SPB,40978774,67.84
TEO,546168959,5.09
TPH,101588474,27.07
IFS,115546218,23.80
RNG,96899225,28.38
HMY,617117117,4.44
ASB,150662252,18.12
IBA,49963262,54.44
BHC,363636364,7.48
DY,29303234,92.14
BCC,39723407,67.97
ITGR,33250927,80.90
SFBS,54515867,49.16
CRI,37890570,70.73
JWN,159880240,16.70
REZI,146542261,18.22
OUT,164910105,16.13
MC,63957682,41.59
NGVT,37171604,71.56
DNA,2070312500,1.28
MCW,307068366,8.63
PK,222222222,11.88
AEO,195393759,13.46
BOWL,170890188,15.39
MYOV,97108970,26.98
CEQP,105475040,24.84
CNX,167841127,15.61
KTB,55508475,47.20
CBZ,50552005,51.63
KFY,52291540,49.53
KSS,110778443,23.38
DEI,205741627,12.54
BRC,49615385,52.00
CBU,53817272,47.94
FRC,186097031,13.81
OFC,112571178,22.83
CNO,114864865,22.20
HASI,90909091,27.94
VSCO,77918078,32.47
ZIM,120171674,20.97
JOBY,626566416,3.99
ESE,25879917,96.60
MATX,36069831,69.31
JKS,50271466,49.73
AI,112714157,22.18
ARNC,99203187,25.10
PIPR,17771751,140.11
SITC,209419680,11.89
DEA,178417266,13.90
AUB,75265554,32.95
SSTK,35812672,68.97
AMR,15182248,162.69
LGF.A,218472469,11.26
BB,581560284,4.23
PRMW,159844055,15.39
AKO.B,157622739,15.48
APAM,68462402,35.64
NABL,181750187,13.37
AMK,73995128,32.84
ARCH,18749516,129.07
HIW,105148342,22.92
SJW,30877643,78.05
JOE,58309038,41.16
GMS,41247834,57.70
SHAK,42213551,56.38
GKOS,47791894,49.59
HAYW,212556054,11.15
FG,126001068,18.73
CHGG,126344086,18.60
TAC,266818700,8.77
MTRN,20477816,114.27
EE,108283202,21.61
WEBR,286945813,8.12
HIMS,208633094,11.12
ITCB,649859944,3.57
ENR,71208385,32.44
CRS,48539609,47.59
WD,33410808,68.84
CPK,17796083,128.68
LBRT,175384615,13.00
WMK,26915358,84.71
TDW,50466874,44.98
AX,59989429,37.84
KW,138161899,16.43
EQC,109714838,20.69
AGTI,134124629,16.85
KAI,11701076,192.29
EPC,51405072,43.77
AMRC,51887885,43.17
MAC,223330010,10.03
SCL,22282718,99.18
RXO,116587175,18.87
TCN,272277228,8.08
FCPT,86004691,25.58
AKO.A,178137652,12.35
GETY,396739130,5.52
BOOT,29801777,73.15
FUN,52078356,41.86
HEP,127113703,17.15
TGLS,47776310,45.42
NHI,43356082,49.82
AMBP,595567867,3.61
WLY,55398093,38.81
CCS,32084763,67.01
LUMN,1004672897,2.14
ALG,12021797,178.01
ZETA,208373905,10.27
BMA,115926327,18.46
MWA,156457565,13.55
TROX,156804734,13.52
KMT,80761905,26.25
EVTC,65150584,32.54
CWK,227467811,9.32
VET,162182936,13.01
DKL,43559042,48.44
DAN,144131778,14.57
USAC,98066950,21.21
CEIX,34482759,60.32
MSGE,34500000,60.00
XPRO,108890058,19.01
FSLY,125151883,16.46
BTE,544973545,3.78
LSPD,150805271,13.66
CPE,61713601,33.38
NPO,20846044,98.34
YELP,69585879,29.46
CSTM,143966126,14.17
NUS,49889949,40.89
DOOR,22241605,91.72
ETRN,433760684,4.68
B,50598205,40.12
FBP,179396092,11.26
NOVA,115626789,17.47
SIX,83402147,24.22
EGO,185151237,10.91
VGR,156589147,12.90
BVN,254108723,7.91
SHO,208722741,9.63
VIST,92678406,21.58
SKT,105124142,18.93
HLIO,32622951,61.00
SLVM,42630677,46.68
CNK,121026895,16.36
AG,274373259,7.18
INSW,49073610,39.94
HCC,51989390,37.70
GOOS,104925054,18.68
BOH,39894158,49.13
ABR,179889299,10.84
EVEX,269337017,7.24
TRN,80922432,23.85
CTRE,99228792,19.45
MTX,32464256,59.45
ETWO,301886792,6.36
SAVE,109142857,17.50
ESTE,140441176,13.60
HTH,64988091,29.39
IIPR,27928855,68.03
DBRG,161977835,11.73
AIR,34761817,54.37
MIR,226233454,8.31
SAH,35504082,52.67
ERO,92300099,20.26
FLNG,53556003,34.73
CAAP,163157895,11.40
SAFE,64035999,28.89
CEPU,309364548,5.98
MHO,27635927,66.58
NEX,233206591,7.89
CRGY,166817770,11.03
USM,84848485,21.45
SGHC,498622590,3.63
WGO,30527914,59.29
ZIP,104988399,17.24
FORG,88249634,20.51
AESI,100499722,18.01
UE,122795115,14.74
ATGE,45443070,39.61
PEB,125795053,14.15
XPOF,54584483,32.61
TALO,127063891,13.93
SDRL,50028265,35.38
SAND,298305085,5.90
NXE,487534626,3.61
CVII,172074730,10.17
HTGC,136932707,12.78
NAPA,115231788,15.10
HBI,350100604,4.97
OII,100346021,17.34
BKE,50334594,34.37
PHR,53329223,32.44
GRBK,46022878,37.59
BNRE,52030075,33.25
NS,110610932,15.55
MCY,55252168,31.13
VZIO,195454545,8.80
MSC,193002257,8.86
EAT,44038115,38.83
FTCH,395833333,4.32
DRH,210396040,8.08
NWN,35948403,47.29
ESRT,271405493,6.19
RFP,76642336,21.92
EVA,74172185,22.65
OXM,15834119,106.10
BRDG,156660413,10.66
ARCO,210062893,7.95
GVA,43705836,38.21
VRTV,13514614,122.83
RLJ,161132812,10.24
BORR,229050279,7.16
LRN,43248945,37.92
GFF,57213057,28.49
FNA,88490771,18.42
RES,217158177,7.46
DHT,162790698,9.89
CMTG,139032815,11.58
JBGS,114777618,13.94
PGTI,60468632,26.46
SLG,64646465,24.75
CGAU,218106996,7.29
CTOS,246489860,6.41
ELME,87513935,17.94
RVLV,73261783,21.43
BKU,74301940,21.13
TGH,43720412,35.91
COUR,150527325,10.43
INT,62052506,25.14
GTY,46630566,33.24
VRE,100129199,15.48
UNFI,59546677,26.03
SBH,107317073,14.35
MEI,35949248,42.56
SPNT,162420382,9.42
IVT,67375887,22.56
AROC,156153051,9.67
GPOR,18856144,80.08
ENVA,31616415,47.76
RAMP,64460679,23.27
GSBD,109249818,13.73
KN,91575092,16.38
BBUC,72753906,20.48
VSTO,56589442,26.33
LOMA,222891566,6.64
DK,66938037,22.11
KNTK,48804781,30.12
FSR,320261438,4.59
CLS,121487603,12.10
OEC,60147300,24.44
KAR,108550186,13.45
PARR,60833333,24.00
KEN,53211009,27.25
XHR,113993711,12.72
TSLX,81690141,17.75
EVRI,88468578,16.39
HLF,98976109,14.65
CVNA,177558570,8.11
SXI,11986016,120.14
UTZ,81126761,17.75
AGM,10603829,135.80
COMP,456869010,3.13
LVWR,194293478,7.36
AGM.A,12448855,114.87
IAG,478114478,2.97
CNNE,76139410,18.65
HBM,261510129,5.43
CTS,31710585,44.78
VLRS,121888412,11.65
LTC,41288433,34.15
AVNS,46534653,30.30
KRP,88567839,15.92
TNK,33918691,41.57
EPAC,57072972,24.53
FDP,47732697,29.33
DFH,93395597,14.99
RYI,35452013,39.49
BBU,74626866,18.76
FBK,46807088,29.91
AAT,77092511,18.16
RCUS,72774869,19.10
SWI,163145540,8.52
AKR,103886398,13.38
ALEX,72698745,19.12
BFH,50180505,27.70
SEMR,141393443,9.76
LNN,10968775,124.90
QTWO,57587222,23.79
CODI,71953782,19.04
ECVT,120386643,11.38
FVRR,37746323,36.03
PFS,75555556,18.00
HMN,40601504,33.25
USPH,13062975,102.58
CDE,353562005,3.79
JBI,146768894,9.13
TWO,96681097,13.86
ARI,141350211,9.48
UVV,24597744,54.07
NOAH,78884935,16.86
CMP,41032017,32.17
WWW,79279279,16.65
HKD,193265007,6.83
VVX,30903515,42.39
ATUS,458041958,2.86
PRIM,53104575,24.48
PRO,45871560,28.34
BRFS,1074380165,1.21
SHCO,204081633,6.37
CIM,231597846,5.57
NTB,49787727,25.91
DFIN,29324847,43.99
OSCR,216442953,5.96
GEL,123209169,10.47
EAF,257028112,4.98
SSU,387878788,3.30
CARS,66252588,19.32
MODN,37433155,33.66
TNC,18543243,67.41
NBHC,37701429,32.89
LZB,43070511,28.79
WRBY,115779645,10.71
MLNK,80571800,15.39
OLO,161458333,7.68
MMI,39315155,31.54
USNA,19347792,64.09
PX,116257089,10.58
ANF,49094567,24.85
FCF,102866779,11.86
CMRE,122000000,10.00
PBT,46725393,26.11
OFG,47768207,25.54
IONQ,199013158,6.08
DAC,20278197,59.67
MD,82990398,14.58
DOLE,94976452,12.74
AIV,150497512,8.04
PRG,48236725,24.67
BFS,32800441,36.28
SFL,126338330,9.34
ZUO,135632184,8.70
PRM,159244265,7.41
TDS,113135187,10.43
DNOW,110694184,10.66
GNL,103448276,11.31
DDD,130580357,8.96
LADR,125950054,9.21
TUYA,557692308,2.08
NVRO,35747304,32.45
PL,275534442,4.21
OMI,75957728,15.14
EIG,27033380,42.54
RC,110679612,10.30
TDCX,145593870,7.83
NXRT,25635260,44.47
HLX,151474531,7.46
MATV,55202736,20.47
DO,101527403,11.13
YEXT,122559653,9.22
STC,27487229,41.11
MOD,52020437,21.53
WDH,380952381,2.94
BGS,72211476,15.51
GES,55527764,19.99
GRND,173708920,6.39
SBR,14582239,76.12
HNI,41697971,26.62
IMAX,53988327,20.56
FSM,290575916,3.82
WNC,48031155,23.11
NTST,62500000,17.60
FINV,284595300,3.83
FIGS,166158537,6.56
ASIX,27428284,39.74
NVGS,76002815,14.21
LOB,44334975,24.36
NBR,9433962,113.42
KRO,115426106,9.27
ATEN,73816156,14.36
PMT,88851635,11.93
MED,10858431,97.62
JELD,85089141,12.34
CXW,114879650,9.14
SA,80246914,12.96
GB,189090909,5.50
AHH,88210348,11.79
BHLB,44406490,23.42
MFA,101761252,10.22
BRCC,212244898,4.90
PGRE,231981982,4.44
ARGO,35034014,29.40
GLP,34015852,30.28
FBRT,83333333,12.36
DIN,15534572,65.66
MBC,128950695,7.91
FREY,139502762,7.24
PAY,124231242,8.13
PRA,54213634,18.63
RGR,17528484,57.05
GOTU,258397933,3.87
GIC,37950664,26.35
AZZ,24913449,39.63
GEO,124411097,7.93
SPCE,280252841,3.52
CLB,46667298,21.13
UAN,10568438,93.15
ARR,192103516,5.12
BSIG,41460593,23.60
CWH,44466576,21.99
SPH,63447849,15.34
PSFE,61247788,15.82
BHVN,68308616,14.16
WT,149188854,6.46
DRQ,34171836,28.05
ALX,5113043,186.30
GBX,31879906,29.81
SCS,114021635,8.32
SII,26039047,36.11
SLCA,77138866,12.17
UTL,16101978,58.15
MEG,29876157,31.33
TARO,37284631,25.05
BBAR,204237363,4.55
CHCT,26079088,35.53
DRD,85988837,10.75
GENI,214955607,4.28
WOW,85832554,10.69
WTTR,126883333,7.20
IRS,157324138,5.80
HY,17166825,52.63
LMND,69461835,12.97
SPLP,21667470,41.50
CSR,16022047,55.79
RSKD,172701550,5.16
KIND,373739496,2.38
APGB,86250000,10.28
UMH,59641026,14.82
GDOT,52179122,16.86
AGRO,109108209,8.04
DDL,216595000,4.00
PLYM,43073595,20.11
LPG,40350443,21.43
LICY,176502049,4.88
NEXA,132438272,6.48
PAR,27211545,31.53
EB,99518086,8.57
BALY,45922869,18.54
VTLE,18039061,46.85
HPP,140944724,5.97
EFC,67837097,12.40
AXL,116815021,7.19
FOR,50116657,16.63
NIC,14710401,56.63
CAPL,37989478,21.86
IDT,25464187,32.53
SG,111100806,7.44
CDRE,37463913,22.03
CAL,36249890,22.73
CBD,270871287,3.03
HRT,75960185,10.80
WLKP,35237127,23.11
BBDC,107988016,7.51
CBL,31909449,25.40
PDM,123548092,6.55
AC,21957302,36.77
TMST,43808696,18.40
RPT,86522067,9.29
AMPX,85514377,9.39
ACEL,86616304,9.20
MRC,83996825,9.45
BKD,187201900,4.21
EOCW,76187379,10.30
KREF,69064261,11.36
EXK,189995110,4.09
LC,106570839,7.27
PUMP,114884273,6.74
SMP,21573950,35.70
BHE,35094891,21.92
RWT,113673077,6.76
PRLB,26656359,28.78
GTN,93071602,8.24
NAT,208226158,3.67
THR,33533245,22.71
DAO,125656766,6.06
BCSF,64244463,11.74
HUYA,239406349,3.15
GRNT,133161348,5.64
BRSP,128539519,5.82
AAC,71927676,10.37
BY,37852400,19.58
MYE,36563213,20.17
PERF,118225806,6.20
PGRU,162130531,4.52
TGI,65010676,11.24
ZH,635182609,1.15
RSI,219406627,3.32
AZUL,115584395,6.28
GSL,35490936,20.41
BDN,171726841,4.21
EFXT,123528205,5.85
AMPS,158988987,4.54
NMM,30108650,23.93
EDN,83145349,8.60
LXU,75846072,9.42
PNTM,68933398,10.36
SXC,83662750,8.51
LANV,128589091,5.50
KOP,20809973,33.89
TXO,30750218,22.90
INN,106820941,6.59
CCVI,69000000,10.15
NX,33183126,20.86
CYH,136752964,5.06
ETD,25375827,27.22
STEM,154748879,4.46
SES,349827411,1.97
PDS,13680860,50.26
GNK,42478664,16.17
TSE,34890244,19.68
BANC,58301020,11.76
ARIS,92788618,7.38
CHS,125049724,5.43
AMBC,45287049,14.98
PLOW,22879217,29.64
REVG,59429577,11.36
DLX,43307147,15.53
MPLN,639600000,1.05
DM,320200957,2.09
GHLD,60885949,10.96
NRP,12617597,52.85
UBA,38366935,17.36
PBI,175084656,3.78
BXC,9127345,72.48
BLX,36056831,18.30
BOC,30892740,21.35
WTI,146623608,4.49
HOUS,110255034,5.96
ECC,58255546,11.27
GMRE,69668443,9.38
ASC,40972310,15.89
ALCC,63949902,10.18
UBP,42288687,15.38
ENFN,72990991,8.88
GPRK,57651246,11.24
TWI,62872568,10.28
EGLE,13734868,46.92
UHT,13786970,46.66
DCO,12229524,52.50
VTEX,188911243,3.38
CANO,530383333,1.20
EVC,101754808,6.24
DX,53849233,11.74
BRMK,131612971,4.78
GRC,26232928,23.87
KAMN,28039693,22.17
YSG,556540541,1.11
VTOL,28005896,22.05
EHAB,49658596,12.39
SMR,70121560,8.72
MOV,22121190,27.56
HZO,21853482,27.71
CUBI,31593354,18.96
AVD,29417976,20.36
CINT,134117647,4.42
RERE,228704280,2.57
RMAX,30681342,19.08
TK,98235294,5.95
UVE,30431250,19.20
WBX,172916914,3.37
FPI,54511759,10.63
AMWL,278259615,2.08
DBI,63653084,9.08
ALLG,265842593,2.16
AORT,40889601,14.04
ARLO,89883648,6.36
TRTX,77485753,7.37
CIR,20390698,27.95
TBI,32010722,17.72
MTW,35247481,15.88
CCO,473389831,1.18
YALA,149868280,3.72
CLW,16979548,32.76
MAX,60004338,9.22
LDI,332373494,1.66
MBI,55075226,9.97
MCS,31629265,17.29
BW,88659609,6.14
BFAC,51750476,10.50
VPG,13606015,39.90
TRAQ,51724928,10.47
TNP,29489640,18.34
BZH,31328847,17.09
AGAC,51750242,10.33
CION,55017508,9.71
HSC,79502985,6.70
SD,36855756,14.42
IIIN,19380153,27.41
PFLT,49542910,10.72
FC,13845469,38.18
BH,3112854,169.60
HVT,16227007,32.51
NOA,27828541,18.78
VTS,28524590,18.30
SRI,27548936,18.80
DTC,63553506,8.13
EBS,50373659,10.25
EBF,25836172,19.96
SBOW,22542507,22.82
BVH,17283361,29.75
MYTE,84811258,6.04
SKE,78022866,6.56
AGX,13394082,38.19
AMRX,305431138,1.67
CLDT,48852490,10.44
NPK,7077343,71.37
NSTC,49605911,10.15
CCV,50000000,10.07
SIRE,19799921,25.39
OIS,64127714,7.83
MBAC,50000000,10.03
SMRT,197760000,2.50
REX,17347688,28.33
BV,93588571,5.25
BFLY,203862500,2.40
ACRE,54704162,8.89
ACHR,246736041,1.97
LND,98867076,4.89
LEV,221543779,2.17
OLP,21276567,22.49
TRC,26718254,17.64
VHI,28144053,16.73
ACCO,95014170,4.94
GHG,103050885,4.52
SGU,35680737,13.03
BBAI,142861538,3.25
SRG,55924096,8.30
GATO,69059613,6.71
GCO,12609375,36.48
HCI,8584053,53.30
ALTG,32437322,14.04
ICNC,43124406,10.53
MPX,33923019,13.38
CPAC,85620952,5.25
SB,118878307,3.78
ODV,83653631,5.37
CNDB,43124880,10.41
PSPC,44214990,10.14
MTVC,42671770,10.45
EGY,106677033,4.18
EVTL,218411765,2.04
WSR,49423973,9.01
CPF,27092853,16.37
RONI,43127680,10.26
NFYS,43125122,10.23
TRTL,43125245,10.22
GLOP,51796231,8.49
CRD.A,47917121,9.17
SJT,46609159,9.39
ACRO,43125370,10.13
SMWB,77143110,5.66
OPY,11127142,39.09
DSX,106567568,4.07
IVR,41473634,10.43
SUAC,41780039,10.32
ORC,39175182,10.96
HIPO,23267209,18.45
SST,113533156,3.77
TPVG,35406794,12.07
VCXB,41152872,10.27
COOK,122819767,3.44
CSV,14934206,28.27
XPER,42147887,9.94
CURV,104314214,4.01
MUX,47454030,8.81
CRD.B,50260870,8.28
ONTF,47429875,8.77
LXFR,26917799,15.45
VLD,195103286,2.13
VVI,20724138,19.72
GNE,25996166,15.65
TPB,17600868,23.05
MX,43774264,9.17
CO,133806020,2.99
ASPN,70068421,5.70
DNMR,101937984,3.87
RRAC,37482364,10.49
JUN,37375240,10.42
NGL,131057239,2.97
MBSC,37500000,10.34
MLR,11544774,33.39
NUVB,217806818,1.76
MCB,10986227,34.85
GOGN,35835206,10.68
HOV,5265884,72.40
TTI,128699324,2.96
NRDY,95575377,3.98
PACK,82212121,4.62
SUPV,161012766,2.35
CTO,23012188,16.41
CXAC,35937143,10.50
GBLI,13639797,27.54
NETI,38526860,9.68
GHI,22579842,16.47
BBW,14732800,25.00
DESP,66237410,5.56
ONL,56683230,6.44
SOI,47187824,7.72
ATEK,35210117,10.28
NETC,34467112,10.49
KCGI,34483779,10.48
EVE,34473734,10.47
NFNT,34500000,10.46
BMAC,34500000,10.44
PACI,34500481,10.39
WE,796200000,0.45
BRT,19118907,18.67
LAW,59352745,6.01
PSTL,24431023,14.57
CNDA,35011823,10.15
RYAM,64140768,5.47
SLQT,166913043,2.07
IPI,13132952,26.25
FF,43793893,7.86
MTAL,33143275,10.26
NR,86328244,3.93
TYG,11323915,29.73
MSB,13120125,25.64
PNNT,65225049,5.11
FPH,144751092,2.29
AAN,31830097,10.30
ASA,19289753,16.98
BYN,31380038,10.42
QD,252472868,1.29
NREF,24159970,13.44
TCI,8639305,37.40
BHR,84439474,3.80
NL,49114855,6.53
AFTR,31250244,10.23
CPUH,30755299,10.38
NVTA,259459016,1.22
OOMA,25381950,12.41
USX,52575251,5.98
STET,30187320,10.41
ODC,7172358,43.34
CYD,40511749,7.66
TG,33979167,9.12
INAQ,30000000,10.22
ARL,16147679,18.96
GAQ,29412560,10.35
CORS,29744368,10.21
TGR,28752607,10.55
JMIA,99526316,3.04
WNNR,28749762,10.51
TRIS,28749524,10.50
RCFA,28750238,10.49
SCUA,28749761,10.47
NOTE,133462222,2.25
KNSW,28750480,10.42
QUOT,97517915,3.07
BRD,28752885,10.40
CVEO,15071573,19.84
PORT,28749759,10.39
WEAV,66709172,4.47
LCW,28750242,10.33
HLLY,117642857,2.52
BIG,29057369,10.11
PGSS,28125479,10.44
RNGR,25807590,11.33
HWKZ,28750000,10.16
VEL,32625280,8.94
GNTY,11870012,24.31
RJAC,27812197,10.33
EGGF,28125490,10.20
SAR,11865808,24.07
SOL,67118203,4.23
RBOT,124845815,2.27
KODK,79343662,3.55
TPC,51441989,5.43
LLAP,145432292,1.92
OSG,78747159,3.52
WAVC,26859223,10.30
NC,7502043,36.71
AMPY,38683544,7.11
VLN,102390977,2.66
TWOA,26796644,10.13
SHAP,25945507,10.46
HYLN,180693333,1.50
SCM,19700873,13.74
DOUG,84283489,3.21
JILL,10451324,25.68
EEX,67536709,3.95
PKE,20480799,13.02
SKLZ,422746032,0.63
PHYT,25142722,10.58
GCI,145368132,1.82
HT,41126365,6.41
RM,9624907,26.82
SEDA,24994169,10.29
LOCC,25000000,10.12
FRGE,173232877,1.46
MEC,20092504,12.54
HMA,24058541,10.42
NMG,56383562,4.38
RAAS,164373333,1.50
UTI,33788752,7.29
CIO,39872549,6.12
IRRX,23000000,10.60
NGVC,22735761,10.71
SKIL,163891892,1.48
DSAQ,23000000,10.50
FUBO,209695652,1.15
PINE,15258861,15.80
UIS,67878187,3.53
CCRD,8610488,27.65
BHIL,206869565,1.15
CIAN,69870588,3.40
GPMT,52469027,4.52
VATE,78788591,2.98
FET,10329651,22.63
HSHP,39667241,5.80
MG,29926797,7.65
CLPR,42380334,5.39
APCA,21562085,10.55
OCN,7559920,30.04
BOAC,22586653,10.04
MNTN,21562023,10.48
MLP,19195038,11.69
TLYS,29957105,7.46
OPFI,110000000,2.02
AGS,37731293,5.88
TCOA,21562927,10.25
NRGV,142766234,1.54
SMHI,26827628,8.18
CLBR,21564961,10.16
ZVIA,64816568,3.38
GFOR,21451961,10.20
AEVA,221010101,0.99
SCU,24987429,8.75
KFS,25731910,8.43
BSAQ,21124878,10.25
OCFT,40390892,5.27
HHLA,20469171,10.38
BARK,177672269,1.19
FACT,19868345,10.33
PRPC,19600194,10.33
QUAD,51820513,3.90
CPS,17122625,11.58
BKSY,140092199,1.41
BLND,241802469,0.81
AOMR,24828165,7.74
RDW,64278912,2.94
BBLN,24860526,7.60
GSQB,17969142,10.37
CNF,68077206,2.72
ADCT,80291304,2.30
YRD,85339623,2.12
DHX,48201087,3.68
MIXT,22077307,8.02
FSNB,16975586,10.24
GLT,44875648,3.86
CATO,20376471,8.50
TCS,50703264,3.37
GWH,155009091,1.10
KNOP,33960080,5.01
XYF,48605797,3.45
IH,52144201,3.19
AENZ,79626214,2.06
IFIN,15417686,10.63
SMLP,10174049,16.03
LITB,112165517,1.45
AZRE,65266129,2.48
CANG,135805085,1.18
MKFG,194548780,0.82
FLME,15620316,10.14
NINE,34607456,4.56
AJX,23135693,6.78
OUST,390025000,0.40
VOC,17000000,9.15
BPT,21459198,7.23
ROSS,15005820,10.31
TSQ,17393665,8.84
WEL,14378430,10.57
VLTA,174372093,0.86
SBXC,14500000,10.10
LHC,13937977,10.48
BODY,305659574,0.47
GHM,10672946,13.27
UFI,18062500,7.84
NSTD,13921105,10.14
GHL,18298292,7.61
CTV,136284314,1.02
DOMA,330142857,0.42
HBB,13986735,9.80
SRT,39935673,3.42
SUP,27795082,4.88
CHMI,24829044,5.44
TLGA,12948127,10.41
ARC,43181230,3.09
PIAI,12711557,10.47
NGS,12441948,10.68
FRXB,13224449,9.98
ML,298545455,0.44
OPAD,246547170,0.53
FZT,12693659,10.25
FOA,74706897,1.74
GFX,12833992,10.12
CSTA,12243427,10.27
ENZ,49565737,2.51
RAD,56495455,2.20
NRT,9118855,13.63
CRT,6005800,20.69
ANVS,8117412,14.99
USDP,34042017,3.57
AHT,37384615,3.25
UP,251416667,0.48
MITT,20973776,5.72
TRCA,11594175,10.30
OPA,11594727,10.24
STG,13852556,8.41
SPRU,144375000,0.80
CIA,50056522,2.30
SQNS,48377119,2.36
CPTK,11064453,10.24
EIC,7654422,14.70
BKKT,81311111,1.35
QFTA,10488327,10.28
BGSF,10789790,9.99
BHG,644500000,0.16
LFT,52497436,1.95
SPIR,143814286,0.70
DLNG,36801471,2.72
EARN,13789182,7.21
WHG,9245480,10.51
SRL,14822901,6.55
PHX,36366038,2.65
FXLV,98112245,0.98
LL,29203762,3.19
PVL,33120000,2.75
KORE,75889831,1.18
MRDB,66237037,1.35
RBT,176860000,0.50
GROV,176480000,0.50
OSI,8853266,9.95
AXAC,8424184,10.42
VNCE,12331445,7.06
HRTG,25558209,3.35
ZEPP,62255474,1.37
ACR,8635796,9.61
CZOO,38492958,2.13
ATAQ,7900000,10.20
BNED,52601307,1.53
MDV,7547842,10.66
PRT,12156923,6.50
AXR,5254667,15.00
CURO,40834197,1.93
ORN,32168724,2.43
SONX,50422078,1.54
AAIC,28469697,2.64
SCX,7362018,10.11
EXPR,74548387,0.93
QBTS,111564516,0.62
BEDU,29726087,2.30
FATH,135938776,0.49
CMCM,28991189,2.27
DBD,79875000,0.80
CULP,12312016,5.16
VIAO,22653571,2.80
FTK,88428571,0.70
CCM,43419118,1.36
TUP,44308271,1.33
ELVT,31459893,1.87
SNDA,6922984,8.31
NTZ,11015385,5.20
AKA,129386364,0.44
ATIP,210074074,0.27
BEST,19649306,2.88
HLGN,200178571,0.28
AP,19403509,2.85
CGA,13313283,3.99
SI,31559006,1.61
WMC,6045292,8.39
BRDS,331666667,0.15
RFL,24309278,1.94
LOCL,102555556,0.45
RGS,44233010,1.03
GETR,92468085,0.47
NM,22887097,1.86
APRN,70466667,0.60
NLS,32076336,1.31
SUNL,133806452,0.31
OWLT,114638889,0.36
ICD,13548822,2.97
AIU,38310680,1.03
VNTR,108416667,0.36
VHC,71094340,0.53
MTR,1863682,19.88
ZEV,112781250,0.32
RENN,25604478,1.34
JT,21186207,1.45
BTCM,10750877,2.85
COE,5662857,5.25
UPH,16810651,1.69
ATTO,14497409,1.93
IRNT,103444444,0.27
NYC,2303557,12.09
GEHI,1403518,19.33
SOS,6230233,4.30
FENG,12133028,2.18
DMS,38779412,0.68
KUKE,29551724,0.87
TISI,4357268,5.71
KLR,13052910,1.89
VAPO,46433962,0.53
MOGU,8313653,2.71
BQ,15285714,1.47
FEDU,2123671,10.35
AUD,146066667,0.15
EQS,13520000,1.50
SQZ,30875000,0.64
CORR,16044643,1.12
XIN,5431250,3.20
LEJU,13716814,1.13
SHPW,49290323,0.31
LCI,10695652,0.69